Time,Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Cause_of_accident,Accident_severity
2024-10-05 17:02:00,Monday,18-30,Male,Above high school,1-2yr,Automobile,Owner,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,2,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 17:02:00,Monday,31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),Owner,5-10yrs,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 17:02:00,Monday,18-30,Male,Junior high school,1-2yr,Lorry (41-100Q),Owner,Unknown,No defect,Recreational areas,Other,Other,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Going straight,Driver or rider,Male,31-50,3.0,Changing lane to the left,Serious Injury
2024-10-05 01:06:00,Sunday,18-30,Male,Junior high school,5-10yr,Public (> 45 seats),Governmental,Unknown,No defect,Office areas,Other,Tangent road with mild grade and flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,18-30,3.0,Changing lane to the right,Slight Injury
2024-10-05 01:06:00,Sunday,18-30,Male,Junior high school,2-5yr,Other,Owner,5-10yrs,No defect,Industrial areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,,,,,Overtaking,Slight Injury
2024-10-05 14:15:00,Friday,31-50,Male,Unknown,Unknown,Other,Other,Unknown,Unknown,Other,Other,Other,Y Shape,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,U-Turn,Driver or rider,Male,31-50,3.0,Overloading,Slight Injury
2024-10-05 17:30:00,Wednesday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,Unknown,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Other,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,Driver or rider,Female,18-30,3.0,Other,Slight Injury
2024-10-05 17:20:00,Friday,18-30,Male,Junior high school,2-5yr,Automobile,Governmental,Above 10yr,No defect,Residential areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,U-Turn,,,,,No priority to vehicle,Slight Injury
2024-10-05 17:20:00,Friday,18-30,Male,Junior high school,Above 10yr,Lorry (41-100Q),Owner,1-2yr,No defect,Industrial areas,Other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3.0,Changing lane to the right,Slight Injury
2024-10-05 17:20:00,Friday,18-30,Male,Junior high school,1-2yr,Automobile,Owner,2-5yrs,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,U-Turn,Passenger,Male,18-30,3.0,Moving Backward,Serious Injury
2024-10-05 14:40:00,Saturday,18-30,Male,Above high school,1-2yr,Public (13-45 seats),Owner,Unknown,No defect,Residential areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,1,Turnover,,,,,Changing lane to the left,Serious Injury
2024-10-05 14:40:00,Saturday,31-50,Male,Above high school,No Licence,Automobile,Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with animals,2,1,Going straight,Driver or rider,Male,18-30,3.0,No priority to pedestrian,Serious Injury
2024-10-05 17:45:00,Thursday,18-30,Male,Junior high school,1-2yr,Public (> 45 seats),Owner,2-5yrs,No defect,Office areas,Double carriageway (median),Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,,,,,No distancing,Slight Injury
2024-10-05 17:45:00,Thursday,31-50,Male,Junior high school,5-10yr,Lorry (41-100Q),Owner,Above 10yr,No defect,Office areas,Other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Waiting to go,,,,,No priority to vehicle,Slight Injury
2024-10-05 17:45:00,Thursday,31-50,Male,Junior high school,Above 10yr,Automobile,Owner,1-2yr,No defect,Office areas,Undivided Two way,Escarpments,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,2,Going straight,Driver or rider,Female,18-30,3.0,No distancing,Serious Injury
2024-10-05 22:45:00,Monday,18-30,Female,Junior high school,Above 10yr,Lorry (11-40Q),Owner,Unknown,No defect,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,,,,,No distancing,Serious Injury
2024-10-05 22:45:00,Monday,18-30,Male,Junior high school,5-10yr,Public (13-45 seats),Owner,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,,,,,Moving Backward,Slight Injury
2024-10-05 22:45:00,Monday,18-30,Male,Elementary school,2-5yr,Public (13-45 seats),Owner,Unknown,No defect,Office areas,Other,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with animals,2,3,Going straight,,,,,Changing lane to the right,Serious Injury
